bigflood,bigfloodDPDK,bigfloodeBPF,flood,floodDPDK,floodeBPF,ping,pingDPDK,pingeBPF
0.540,1.07,0.609,0.041,0.267,0.100,0.121,0.381,0.181
0.556,0.929,0.536,0.040,0.276,0.055,0.121,0.385,0.176
0.496,0.936,0.600,0.041,0.274,0.084,0.120,0.382,0.178
0.497,0.988,0.575,0.040,0.279,0.048,0.121,0.383,0.180
0.554,1.04,0.606,0.040,0.288,0.050,0.121,0.380,0.169
0.536,0.918,0.603,0.041,0.274,0.049,0.121,0.380,0.191
0.453,1.04,0.522,0.040,0.274,0.050,0.120,0.382,0.175
0.498,1.02,0.962,0.041,0.274,0.049,0.088,0.382,0.186
0.493,0.912,0.571,0.040,0.274,0.050,0.121,0.382,0.191
0.540,0.929,0.595,0.040,0.266,0.048,0.121,0.386,0.207
0.543,1.64,0.598,0.041,0.265,0.049,0.122,1.44,0.152
0.555,0.918,0.644,0.040,0.269,0.050,0.122,0.379,0.183
0.510,0.920,0.609,0.041,0.278,0.050,0.120,0.380,0.164
0.484,1.02,0.609,0.040,0.282,0.093,0.121,0.381,0.164
0.555,0.920,0.657,0.041,0.279,0.048,0.120,0.379,0.193
1.45,1.08,0.643,0.041,0.426,0.050,0.121,0.388,0.147
0.485,0.968,0.534,0.040,0.277,0.049,0.089,0.380,0.164
0.516,0.869,0.525,0.041,0.279,0.048,0.122,0.393,0.159
0.506,1.06,0.514,0.040,0.277,0.050,0.122,0.380,0.207
0.499,1.04,0.525,0.041,0.284,0.080,0.121,0.381,0.201
0.432,0.913,0.699,0.040,0.259,0.050,0.121,0.383,0.198
0.486,0.919,0.518,0.041,0.268,0.050,0.121,0.385,0.191
0.487,1.04,0.521,0.040,0.266,0.048,0.121,0.388,0.181
0.406,0.967,0.533,0.040,0.274,0.049,0.120,0.380,0.162
0.420,0.865,0.522,0.041,0.282,0.050,0.120,0.390,0.157
0.498,1.02,0.592,0.040,0.276,0.049,0.088,0.382,0.154
0.483,0.962,0.574,0.041,0.286,0.050,0.120,0.381,0.156
0.486,0.932,0.557,0.041,0.282,0.049,0.120,0.379,0.166
0.486,0.994,0.510,0.040,0.274,0.051,0.120,1.43,0.152
0.403,0.985,0.641,0.041,0.274,0.049,0.120,0.377,0.173
0.521,0.871,0.575,0.041,0.283,0.105,0.121,0.378,0.181
0.417,0.912,0.566,0.040,0.272,0.048,0.121,0.381,0.158
0.511,1.04,0.557,0.040,0.262,0.049,0.127,0.388,0.202
0.490,1.03,0.567,0.040,0.267,0.046,0.125,0.381,0.158
0.439,0.915,0.704,0.040,0.279,0.050,0.089,0.379,0.175
0.418,0.891,0.537,0.041,0.280,0.093,0.121,0.379,0.155
0.404,0.984,0.541,0.041,0.284,0.050,0.121,0.379,0.163
0.488,0.930,0.591,0.040,0.314,0.599,0.121,0.382,0.187
0.484,1.06,0.577,0.041,0.282,0.093,0.122,0.382,0.177
0.435,0.979,0.550,0.042,0.279,0.048,0.123,0.382,0.191
0.406,0.862,0.581,0.040,0.280,0.051,0.089,0.380,0.200
0.408,0.911,0.569,0.041,0.298,0.049,0.122,0.376,0.193
0.548,1.04,0.501,0.040,0.259,0.050,0.123,0.379,0.190
0.467,0.967,0.616,0.040,0.275,0.049,0.090,0.379,0.202
0.491,0.912,0.627,0.040,0.271,0.053,0.122,0.379,0.172
0.543,0.979,0.602,0.041,0.279,0.089,0.123,0.384,0.203
0.552,1.02,0.625,0.040,0.277,0.050,0.123,1.42,0.198
0.554,0.865,0.610,0.040,0.277,0.050,0.123,0.375,0.204
0.472,1.06,0.792,0.041,0.285,0.104,0.122,0.380,0.167
0.494,0.971,0.509,0.040,0.277,0.047,0.122,0.378,0.174
0.535,0.919,0.514,0.041,0.280,0.052,0.123,0.378,0.179
0.529,0.867,0.592,0.040,0.280,0.105,0.122,0.381,0.185
0.565,1.04,0.569,0.040,0.276,0.105,0.091,0.380,0.192
0.504,1.03,0.536,0.041,0.280,0.105,0.122,0.384,0.152
0.540,0.922,0.593,0.040,0.264,0.104,0.121,0.384,0.173
0.530,0.918,0.562,0.041,0.262,0.103,0.123,0.381,0.191
0.547,1.02,0.602,0.041,0.280,0.050,0.121,0.389,0.202
0.560,0.933,0.598,0.041,0.276,0.048,0.122,0.380,0.192
0.490,1.06,0.613,0.041,0.275,0.104,0.122,0.387,0.189
0.551,1.03,0.618,0.041,0.358,0.091,0.123,0.379,0.173
0.549,0.934,0.634,0.040,0.280,0.048,0.121,0.386,0.158
0.490,1.01,0.536,0.040,0.274,0.048,0.122,0.382,0.174
0.493,1.02,0.515,0.040,0.275,0.049,0.122,0.389,0.192
0.488,1.03,0.526,0.040,0.280,0.050,0.121,0.384,0.211
0.409,0.924,0.522,0.041,0.268,0.050,0.123,1.42,0.179
0.404,1.04,0.532,0.040,0.269,0.059,0.121,0.379,0.208
0.534,1.03,0.681,0.041,0.262,0.083,0.122,0.380,0.163
0.447,0.862,0.527,0.040,0.280,0.048,0.123,0.382,0.188
0.472,0.915,0.531,0.040,0.278,0.050,0.123,0.385,0.149
0.482,1.03,0.531,0.041,0.306,0.051,0.122,0.380,0.170
0.545,0.858,0.512,0.040,0.284,0.103,0.121,0.381,0.171
0.537,1.15,0.573,0.041,0.278,0.048,0.123,0.378,0.201
0.551,1.03,0.530,0.040,0.274,0.110,0.122,0.385,0.158
0.485,0.924,0.510,0.040,0.283,0.048,0.123,0.381,0.191
0.511,0.872,0.606,0.041,0.275,0.049,0.123,0.382,0.154
0.533,0.914,0.618,0.040,0.262,0.049,0.122,0.379,0.188
0.535,0.897,0.564,0.041,0.262,0.050,0.121,0.380,0.157
0.452,0.984,0.570,0.040,0.266,0.076,0.121,0.382,0.167
0.470,0.968,0.518,0.041,0.262,0.054,0.123,0.378,0.147
0.495,0.992,0.571,0.041,0.275,0.051,0.089,0.381,0.156
0.547,0.869,0.821,0.040,0.280,0.052,0.123,0.379,0.199
0.437,1.00,0.525,0.041,0.279,0.066,0.121,0.386,0.198
0.553,0.991,0.535,0.040,0.289,0.050,0.123,1.40,0.171
0.479,0.909,0.542,0.040,0.279,0.050,0.121,0.391,0.186
0.550,0.929,0.570,0.041,0.262,0.050,0.122,0.379,0.182
0.534,1.04,0.523,0.039,0.271,0.048,0.121,0.376,0.177
0.536,1.02,0.531,0.041,0.268,0.051,0.122,0.379,0.203
0.554,0.942,0.539,0.040,0.276,0.049,0.122,0.379,0.179
0.501,0.925,0.523,0.041,0.274,0.104,0.122,0.381,0.201
0.533,1.03,1.21,0.040,0.268,0.105,0.123,0.385,0.159
0.534,0.870,0.551,0.040,0.279,0.105,0.122,0.381,0.189
0.412,1.13,0.615,0.041,0.273,0.106,0.122,0.391,0.160
0.421,0.976,0.626,0.041,0.278,0.092,0.121,0.382,0.165
0.477,0.888,0.616,0.040,0.291,0.050,0.122,0.380,0.161
0.496,1.05,0.562,0.040,0.280,0.049,0.123,0.381,0.177
0.451,1.03,0.564,0.040,0.280,0.049,0.124,0.378,0.192
0.441,0.910,0.514,0.041,0.291,0.051,0.123,0.384,0.164
0.565,0.949,0.522,0.040,0.278,0.048,0.121,0.382,0.180
0.414,1.04,0.620,0.040,0.262,0.049,0.121,0.391,0.173
0.422,0.976,0.580,0.040,0.262,0.048,0.121,0.381,0.163
0.538,0.936,0.511,0.041,0.266,0.049,0.123,1.38,0.188
0.541,0.944,0.524,0.041,0.275,0.050,0.122,0.381,0.206
0.535,1.03,0.524,0.040,0.275,0.051,0.121,0.387,0.186
0.476,0.885,0.573,0.041,0.289,0.051,0.122,0.379,0.183
0.537,0.996,0.533,0.045,0.315,0.092,0.125,0.378,0.192
0.541,1.05,0.578,0.042,0.277,0.049,0.117,0.381,0.177
0.532,2.05,0.553,0.040,0.277,0.049,0.084,0.379,0.203
0.551,1.08,0.625,0.041,0.294,0.050,0.120,0.378,0.202
0.479,0.864,0.559,0.040,0.279,0.050,0.121,0.381,0.168
0.548,0.930,0.613,0.041,0.261,0.050,0.122,0.382,0.151
0.536,0.908,0.602,0.041,0.270,0.050,0.121,0.382,0.168
0.538,1.03,0.612,0.040,0.267,0.049,0.123,0.380,0.176
0.474,0.874,0.586,0.041,0.277,0.056,0.121,0.390,0.169
0.482,1.05,0.522,0.041,0.280,0.049,0.123,0.380,0.206
0.538,1.01,0.535,0.041,0.276,0.049,0.121,0.379,0.164
0.546,0.947,0.540,0.040,0.287,0.050,0.120,0.380,0.188
0.544,0.930,0.565,0.040,0.277,0.106,0.121,0.379,0.161
0.545,1.06,0.592,0.040,0.279,0.106,0.122,0.387,0.147
0.484,0.968,0.524,0.040,0.273,0.052,0.122,1.38,0.179
0.542,0.938,0.523,0.041,0.262,0.108,0.121,0.374,0.150
0.542,0.859,0.524,0.041,0.281,0.100,0.122,0.372,0.165
0.406,1.04,0.637,0.041,0.279,0.048,0.122,0.378,0.203
0.421,0.889,0.562,0.040,0.274,0.049,0.122,0.389,0.200
0.483,1.11,0.643,0.041,0.264,0.050,0.123,0.381,0.192
0.537,0.965,0.625,0.040,0.291,0.048,0.122,0.379,0.173
0.410,0.885,0.618,0.040,0.276,0.050,0.122,0.379,0.173
0.533,0.939,0.582,0.040,0.277,0.049,0.121,0.381,0.160
0.563,1.08,0.522,0.041,0.303,0.382,0.122,0.378,0.154
0.478,0.923,0.551,0.041,0.274,0.089,0.121,0.392,0.171
0.494,0.916,0.516,0.041,0.276,0.105,0.121,0.383,0.189
0.548,0.887,0.506,0.040,0.282,0.105,0.121,0.383,0.201
0.534,1.04,0.572,0.043,0.282,0.094,0.122,0.379,0.193
0.440,0.875,0.596,0.041,0.262,0.049,0.088,0.380,0.154
0.472,1.05,0.619,0.040,0.269,0.049,0.121,0.384,0.152
0.486,1.03,0.620,0.041,0.267,0.049,0.121,0.377,0.158
0.534,0.890,0.656,0.040,0.276,0.051,0.122,0.386,0.147
0.542,1.11,0.508,0.041,0.277,0.049,0.120,1.37,0.186
0.562,1.04,0.518,0.040,0.274,0.049,0.121,0.373,0.178
0.483,0.913,0.515,0.040,0.285,0.049,0.122,0.379,0.201
0.489,0.937,0.566,0.041,0.280,0.050,0.121,0.387,0.201
0.438,1.03,0.951,0.040,0.274,0.051,0.121,0.377,0.186
0.533,0.970,0.555,0.041,0.275,0.049,0.084,0.390,0.166
0.543,0.874,0.518,0.040,0.274,0.050,0.121,0.380,0.149
0.494,0.941,0.513,0.041,0.260,0.049,0.121,0.388,0.185
0.555,1.02,0.815,0.040,0.266,0.049,0.121,0.377,0.206
0.539,0.885,0.514,0.040,0.270,0.048,0.121,0.378,0.199
0.401,1.05,0.562,0.041,0.279,0.078,0.122,0.380,0.169
0.559,1.03,0.572,0.040,0.274,0.051,0.121,0.376,0.203
0.489,0.916,0.552,0.040,0.279,0.048,0.120,0.377,0.163
0.425,1.05,0.563,0.040,0.351,0.048,0.120,0.380,0.155
0.544,1.02,0.516,0.041,0.284,0.050,0.091,0.378,0.202
0.548,1.01,0.525,0.040,0.279,0.049,0.121,0.381,0.203
0.546,0.960,0.521,0.040,0.266,0.051,0.122,0.377,0.191
0.483,0.939,0.944,0.040,0.267,0.048,0.122,0.383,0.161
0.549,1.02,0.561,0.040,0.268,0.051,0.122,1.39,0.164
0.410,0.891,0.569,0.040,0.267,0.049,0.120,0.377,0.181
0.407,0.959,0.511,0.041,0.268,0.048,0.120,0.377,0.152
0.438,1.04,0.544,0.040,0.265,0.049,0.122,0.372,0.168
0.488,0.881,0.572,0.041,0.274,0.050,0.122,0.381,0.187
0.491,1.06,0.575,0.040,0.279,0.049,0.088,0.385,0.195
0.544,1.01,0.502,0.039,0.276,0.050,0.121,0.377,0.200
0.546,0.951,0.630,0.041,0.287,0.050,0.121,0.377,0.180
0.550,0.919,0.946,0.040,0.276,0.048,0.121,0.379,0.162
0.472,1.04,0.536,0.040,0.261,0.051,0.121,0.377,0.155
0.504,1.03,0.633,0.041,0.266,0.048,0.122,0.383,0.146
0.550,0.937,0.555,0.041,0.263,0.048,0.121,0.386,0.177
0.530,0.912,0.547,0.041,0.292,0.095,0.123,0.377,0.194
0.430,1.04,0.615,0.040,0.274,0.050,0.120,0.381,0.174
0.480,0.880,0.594,0.041,0.263,0.101,0.088,0.378,0.181
0.487,1.05,0.587,0.041,0.289,0.050,0.120,0.378,0.195
0.536,1.03,0.594,0.042,0.273,0.050,0.124,0.380,0.209
0.429,0.875,0.830,0.040,0.275,0.048,0.122,0.379,0.146
0.580,1.03,0.524,0.041,0.329,0.050,0.121,1.38,0.166
0.476,1.04,0.642,0.040,0.265,0.048,0.120,0.373,0.164
0.490,0.918,0.573,0.040,0.219,0.050,0.120,0.378,0.178
0.547,0.937,0.559,0.040,0.219,0.049,0.120,0.377,0.186
0.530,1.03,0.597,0.040,0.218,0.075,0.121,0.389,0.165
0.553,0.983,0.639,0.041,0.219,0.053,0.116,0.389,0.159
0.495,0.925,0.547,0.040,0.219,0.052,0.121,0.379,0.151
0.511,0.944,0.617,0.040,0.219,0.053,0.122,0.386,0.190
0.539,1.02,0.847,0.041,0.257,0.065,0.125,0.381,0.210
0.539,0.904,0.517,0.040,0.222,0.050,0.121,0.389,0.190
0.553,1.06,0.510,0.041,0.267,0.047,0.122,0.381,0.150
0.487,0.974,0.614,0.040,0.223,0.049,0.121,0.381,0.151
0.543,0.910,0.550,0.040,0.259,0.057,0.120,0.379,0.192
0.541,1.05,0.603,0.040,0.260,0.049,0.121,0.387,0.203
0.514,1.02,0.514,0.040,0.271,0.050,0.119,0.388,0.169
0.497,1.04,0.637,0.041,0.261,0.048,0.122,0.380,0.196
0.473,0.914,0.496,0.041,0.266,0.105,0.122,0.389,0.177
0.423,1.05,0.599,0.041,0.216,0.095,0.122,0.381,0.203
0.404,0.963,0.585,0.039,0.218,0.049,0.122,1.37,0.206
0.404,0.937,0.577,0.041,0.249,0.055,0.121,0.371,0.166
0.494,0.950,0.610,0.040,0.222,0.099,0.121,0.371,0.149
0.492,1.03,0.533,0.039,0.260,0.104,0.121,0.374,0.159
0.484,0.885,0.617,0.040,0.256,0.112,0.121,0.377,0.163
0.408,1.06,0.564,0.040,0.224,0.105,0.116,0.387,0.206
0.411,1.03,0.524,0.041,0.249,0.092,0.120,0.378,0.211
0.412,0.935,0.643,0.040,0.276,0.050,0.121,0.377,0.148
0.418,0.944,0.603,0.040,0.263,0.049,0.120,0.384,0.200
0.475,1.03,0.829,0.041,0.332,0.049,0.122,0.376,0.192
0.496,1.02,0.551,0.040,0.263,0.057,0.121,0.381,0.176
0.537,0.945,0.530,0.041,0.266,0.049,0.122,0.377,0.176
0.546,0.956,0.532,0.040,0.263,0.050,0.122,0.378,0.191
0.541,1.03,0.680,0.041,0.264,0.049,0.122,0.385,0.170
0.478,0.866,0.577,0.040,0.257,0.050,0.089,0.392,0.203
0.487,0.946,0.507,0.040,0.222,0.051,0.120,0.380,0.147
0.541,1.02,0.596,0.041,0.217,0.049,0.119,0.387,0.165
0.554,0.942,0.550,0.040,0.250,0.050,0.122,0.380,0.137
0.533,1.13,0.649,0.041,0.260,0.099,0.120,1.37,0.179
0.499,1.03,0.598,0.040,0.263,0.050,0.121,0.371,0.191
0.428,0.913,0.608,0.040,0.264,0.051,0.119,0.377,0.206
0.533,0.890,0.573,0.040,0.268,0.088,0.121,0.380,0.190
0.548,1.04,0.620,0.040,0.267,0.050,0.120,0.376,0.155
0.539,0.927,0.614,0.040,0.274,0.049,0.092,0.379,0.200
0.494,0.921,0.502,0.041,0.264,0.056,0.120,0.376,0.157
0.532,0.930,0.529,0.041,0.261,0.049,0.122,0.378,0.169
0.540,0.965,0.643,0.040,0.264,0.050,0.121,0.382,0.177
0.421,0.894,0.555,0.041,0.223,0.062,0.120,0.386,0.167
0.399,1.05,0.623,0.040,0.218,0.095,0.122,0.380,0.176
0.475,1.03,0.635,0.041,0.249,0.049,0.123,0.378,0.185
0.490,0.914,0.609,0.040,0.260,0.056,0.120,0.377,0.200
0.542,0.969,0.544,0.041,0.260,0.050,0.122,0.378,0.167
0.447,1.03,1.37,0.040,0.273,0.049,0.089,0.388,0.189
0.543,1.01,0.545,0.041,0.336,0.049,0.120,0.375,0.199
0.479,0.936,0.528,0.040,0.268,0.064,0.121,0.197,0.188
0.486,1.05,0.586,0.040,0.262,0.442,0.122,0.390,0.211
0.540,0.973,0.802,0.041,0.260,0.110,0.122,1.38,0.189
0.544,0.894,0.558,0.040,0.261,0.106,0.121,0.371,0.189
0.544,1.01,0.516,0.040,0.217,0.107,0.121,0.389,0.198
0.485,1.04,0.623,0.041,0.217,0.105,0.123,0.383,0.155
0.491,0.900,0.589,0.039,0.254,0.103,0.121,0.377,0.195
0.539,1.08,0.643,0.041,0.219,0.104,0.089,0.376,0.184
0.551,1.03,0.601,0.040,0.260,0.106,0.121,0.378,0.175
0.533,0.870,0.622,0.040,0.265,0.092,0.121,0.377,0.183
0.495,0.993,0.593,0.040,0.272,0.050,0.120,0.386,0.173
0.432,0.921,0.904,0.041,0.270,0.060,0.121,0.378,0.173
0.538,0.850,0.554,0.042,0.263,0.082,0.122,0.387,0.202
0.424,0.881,0.610,0.040,0.272,0.050,0.120,0.386,0.181
0.435,0.861,0.521,0.041,0.261,0.049,0.121,0.378,0.148
0.470,1.06,0.589,0.041,0.262,0.075,0.120,0.377,0.175
0.492,0.940,0.596,0.041,0.215,0.058,0.120,0.378,0.192
0.423,1.06,0.570,0.041,0.219,0.050,0.120,0.391,0.161
0.557,0.977,0.636,0.040,0.219,0.061,0.121,0.387,0.166
0.560,0.882,0.611,0.040,0.216,0.080,0.120,0.381,0.195
0.478,0.929,0.733,0.040,0.256,0.050,0.120,1.36,0.197
0.489,1.04,0.492,0.040,0.260,0.051,0.121,0.371,0.177
0.427,1.02,0.579,0.041,0.259,0.048,0.121,0.392,0.173
0.545,0.939,0.645,0.039,0.261,0.050,0.119,0.378,0.202
0.556,0.938,0.638,0.041,0.353,0.050,0.122,0.379,0.185
0.482,1.03,0.656,0.040,0.271,0.050,0.122,0.380,0.168
0.495,0.866,0.619,0.041,0.260,0.051,0.122,0.379,0.169
0.532,1.06,0.601,0.040,0.261,0.049,0.122,0.379,0.176
0.442,1.04,0.619,0.040,0.263,0.050,0.120,0.381,0.178
0.558,0.887,0.662,0.041,0.257,0.103,0.121,0.390,0.177
0.471,0.990,0.645,0.040,0.220,0.048,0.120,0.379,0.188
0.498,1.03,0.527,0.040,0.258,0.056,0.122,0.376,0.191
0.541,1.00,0.634,0.040,0.263,0.088,0.122,0.378,0.182
0.541,0.970,0.538,0.041,0.262,0.048,0.122,0.377,0.173
0.537,1.04,0.617,0.041,0.259,0.051,0.121,0.385,0.160
0.486,0.971,0.618,0.040,0.265,0.074,0.121,0.384,0.272
0.492,0.924,0.526,0.040,0.265,0.047,0.122,0.384,0.192
0.541,0.954,0.622,0.039,0.261,0.049,0.122,0.379,0.167
0.547,1.04,0.556,0.041,0.255,0.050,0.121,1.36,0.158
0.543,0.909,0.622,0.040,0.219,0.049,0.121,0.377,0.160
0.490,0.995,0.527,0.041,0.219,0.050,0.121,0.371,0.180
0.543,1.05,0.626,0.040,0.252,0.048,0.121,0.373,0.190
0.540,0.914,0.619,0.040,0.266,0.051,0.125,0.375,0.156
0.424,0.997,0.680,0.040,0.218,0.074,0.121,0.377,0.163
0.428,0.853,0.507,0.040,0.259,0.053,0.123,0.376,0.166
0.480,0.855,0.624,0.041,0.262,0.051,0.121,0.377,0.201
0.498,0.918,0.598,0.040,0.262,0.054,0.120,0.388,0.161
0.539,0.929,0.501,0.041,0.261,0.067,0.120,0.376,0.174
0.547,1.05,0.678,0.040,0.269,0.052,0.121,0.390,0.167
0.544,0.872,0.512,0.040,0.270,0.048,0.120,0.378,0.168
0.486,0.999,0.607,0.041,0.260,0.050,0.122,0.378,0.201
0.492,1.03,0.586,0.040,0.262,0.051,0.122,0.381,0.155
0.545,0.928,0.715,0.041,0.262,0.049,0.120,0.386,0.179
0.554,0.924,0.605,0.040,0.258,0.050,0.121,0.377,0.147
0.537,0.912,0.567,0.040,0.222,0.093,0.121,0.377,0.147
0.487,0.914,0.495,0.041,0.220,0.048,0.120,0.387,0.169
0.428,0.851,0.618,0.039,0.261,0.050,0.121,1.32,0.154
0.424,0.939,0.914,0.041,0.275,0.050,0.120,0.373,0.151
0.548,1.03,0.508,0.040,0.265,0.050,0.120,0.391,0.192
0.419,0.886,0.564,0.040,0.259,0.049,0.122,0.381,0.202
0.482,1.12,0.586,0.041,0.271,0.054,0.085,0.380,0.204
0.491,0.979,0.589,0.040,0.271,0.088,0.121,0.385,0.148
0.537,0.913,0.571,0.041,0.261,0.049,0.120,0.377,0.155
0.548,0.947,0.618,0.040,0.260,0.057,0.120,0.378,0.189
0.531,1.04,0.567,0.040,0.264,0.080,0.122,0.379,0.198
0.493,0.969,0.541,0.041,0.256,0.049,0.121,0.383,0.181
0.494,0.927,0.738,0.041,0.221,0.051,0.121,0.380,0.173
0.545,0.934,0.546,0.040,0.202,0.049,0.122,0.388,0.165
0.421,1.03,0.636,0.040,0.246,0.050,0.121,0.385,0.199
0.431,0.905,0.624,0.041,0.274,0.050,0.089,0.374,0.199
0.475,1.05,0.547,0.041,0.261,0.056,0.120,0.376,0.170
0.488,1.03,0.924,0.040,0.262,0.050,0.121,0.382,0.151
0.537,0.927,0.551,0.041,0.263,0.049,0.121,0.378,0.140
0.555,1.05,0.521,0.039,0.260,0.049,0.119,0.380,0.196
0.546,1.02,0.604,0.041,0.223,0.049,0.123,1.33,0.152
0.487,1.03,0.713,0.040,0.219,0.050,0.121,0.374,0.197
0.491,0.867,0.532,0.041,0.218,0.051,0.121,0.379,0.204
0.427,1.05,0.608,0.040,0.220,0.050,0.121,0.376,0.188
0.550,1.05,0.518,0.041,0.220,0.057,0.084,0.386,0.151
0.534,0.948,0.602,0.041,0.259,0.098,0.120,0.391,0.205
0.492,0.930,0.700,0.039,0.220,0.050,0.120,0.377,0.200
0.541,1.03,0.516,0.041,0.218,0.079,0.121,0.387,0.153
0.533,0.880,0.636,0.040,0.215,0.050,0.119,0.381,0.196
0.416,1.04,0.574,0.040,0.254,0.049,0.119,0.378,0.157
0.540,1.05,0.613,0.040,0.267,0.057,0.121,0.381,0.168
0.493,0.869,0.597,0.039,0.261,0.051,0.120,0.378,0.175
0.534,0.935,0.613,0.041,0.266,0.050,0.121,0.386,0.204
0.545,0.975,0.615,0.040,0.267,0.049,0.117,0.376,0.157
0.424,0.990,0.619,0.041,0.261,0.073,0.121,0.389,0.152
0.429,0.922,1.11,0.040,0.263,0.047,0.120,0.387,0.200
0.489,0.931,0.555,0.040,0.262,0.056,0.120,0.379,0.136
0.429,1.02,0.621,0.040,0.217,0.051,0.120,0.384,0.198
0.531,0.879,0.567,0.040,0.217,0.048,0.121,1.32,0.167
0.544,1.07,0.703,0.041,0.219,0.051,0.122,0.448,0.182
0.539,1.02,0.503,0.041,0.263,0.103,0.121,0.378,0.180
0.506,0.885,0.625,0.040,0.201,0.121,0.120,0.387,0.172
0.535,1.03,0.575,0.041,0.199,0.061,0.087,0.379,0.168
0.536,0.973,0.597,0.041,0.200,0.097,0.121,0.379,0.198
0.430,1.03,0.622,0.040,0.200,0.066,0.121,0.380,0.179
0.426,0.885,0.599,0.041,0.198,0.050,0.122,0.389,0.178
0.473,1.08,0.617,0.040,0.200,0.050,0.121,0.383,0.160
0.496,0.972,0.576,0.040,0.214,0.050,0.121,0.378,0.189
0.540,0.922,0.572,0.041,0.279,0.051,0.121,0.382,0.149
0.545,0.913,0.596,0.040,0.194,0.065,0.119,0.388,0.172
0.542,1.04,0.598,0.040,0.184,0.085,0.122,0.381,0.157
0.500,0.870,0.631,0.040,0.197,0.048,0.118,0.382,0.188
0.487,1.05,0.588,0.040,0.197,0.050,0.122,0.384,0.191
0.429,1.02,0.626,0.041,0.190,0.049,0.122,0.388,0.191
0.547,0.947,0.606,0.040,0.187,0.052,0.124,0.388,0.171
